Word,Label
I,O
would,O
n,O
',O
t,O
have,O
gone,O
to,O
that,O
Manchester,I-ORG
United,I-ORG
match,O
if,O
my,O
cousin,O
had,O
n,O
',O
t,O
driven,O
me,O
there,O
.,O
Elena,I-PER
and,O
her,O
family,O
moved,O
to,O
Barcelona,I-LOC
last,O
summer,O
to,O
enjoy,O
a,O
warm,O
weather,O
.,O
The,O
concert,O
by,O
Cold,I-ORG
##play,I-ORG
at,O
Wembley,I-LOC
Stadium,I-LOC
was,O
absolutely,O
elect,O
##ri,O
##fying,O
!,O
Lionel,I-PER
Me,I-PER
##ssi,I-PER
made,O
his,O
debut,O
for,O
Inter,I-ORG
Miami,I-ORG
and,O
proved,O
why,O
he,O
is,O
the,O
GO,O
##AT,O
.,O
I,O
can,O
',O
t,O
believe,O
how,O
much,O
I,O
cried,O
watching,O
Titanic,I-MISC
for,O
the,O
10th,O
time,O
.,O
My,O
friend,O
Sarah,I-PER
just,O
finished,O
reading,O
The,I-MISC
Catch,I-MISC
##er,I-MISC
in,I-MISC
the,I-MISC
R,I-MISC
##ye,I-MISC
and,O
couldn,O
',O
t,O
stop,O
talking,O
about,O
Holden,I-MISC
C,I-MISC
##aul,I-PER
##field,I-MISC
.,O
Maria,I-PER
S,I-PER
##hara,I-PER
##po,I-PER
##va,I-PER
',O
s,O
final,O
game,O
against,O
Serena,I-PER
Williams,I-PER
is,O
still,O
one,O
of,O
my,O
favorite,O
matches,O
.,O
I,O
spotted,O
a,O
Banks,I-ORG
##y,I-ORG
mural,O
whilst,O
walking,O
through,O
the,O
streets,O
of,O
Bristol,I-LOC
!,O
The,O
Harry,I-MISC
Potter,I-MISC
series,O
will,O
always,O
be,O
my,O
go,O
-,O
to,O
comfort,O
read,O
.,O
During,O
my,O
trip,O
to,O
Berlin,I-LOC
",",O
I,O
visited,O
the,O
Brandenburg,I-LOC
Gate,I-LOC
and,O
learned,O
so,O
much,O
about,O
German,I-MISC
history,O
.,O
I,O
just,O
finished,O
watching,O
Stranger,I-MISC
Things,I-MISC
",",O
and,O
Eleven,I-MISC
is,O
hands,O
down,O
my,O
favorite,O
character,O
.,O
I,O
started,O
reading,O
1984,I-MISC
",",O
and,O
George,I-PER
Or,I-PER
##well,I-PER
',O
s,O
vision,O
of,O
a,O
d,O
##ys,O
##topia,O
##n,O
future,O
is,O
chill,O
##ing,O
.,O
Barbie,I-MISC
and,O
Op,I-PER
##pen,I-PER
##heimer,I-PER
releasing,O
on,O
the,O
same,O
day,O
was,O
the,O
cinema,O
##tic,O
event,O
of,O
the,O
decade,O
.,O
I,O
stumbled,O
across,O
a,O
rare,O
edition,O
of,O
To,I-MISC
Kill,I-MISC
a,I-MISC
Mo,I-MISC
##cking,I-MISC
##bird,I-MISC
at,O
a,O
small,O
bookstore,O
in,O
Dublin,I-LOC
.,O
I,O
just,O
bin,O
##ged,O
The,O
Crown,I-ORG
",",O
and,O
Claire,I-PER
F,I-PER
##oy,I-PER
as,O
Queen,O
Elizabeth,I-PER
II,I-PER
was,O
phenomena,O
##l,O
.,O
